SCAT_ID	CCB_ID	JGI_ID
SCAT_0228	embl-cds:CCB72966	2504909818
SCAT_0229	embl-cds:CCB72967	2504909819
SCAT_0230	embl-cds:CCB72968	2504909820
SCAT_0231	embl-cds:CCB72969	2504909621
SCAT_0232	embl-cds:CCB72970	2504909622
SCAT_0233	embl-cds:CCB72971	2504909623
SCAT_0234	embl-cds:CCB72972	2504909624
SCAT_0235	embl-cds:CCB72973	2504909625
SCAT_0236	embl-cds:CCB72974	2504909626
SCAT_0237	embl-cds:CCB72975	2504909627
SCAT_0238	embl-cds:CCB72976	2504909628
SCAT_0239	embl-cds:CCB72977	2504909629
SCAT_0240	embl-cds:CCB72978	2504909630
SCAT_0241	embl-cds:CCB72979	no IMG ID
SCAT_0242	embl-cds:CCB72980	2504909631
SCAT_0243	embl-cds:CCB72981	2504909632
SCAT_0244	embl-cds:CCB72982	2504909633
SCAT_0245	embl-cds:CCB72983	no IMG ID
SCAT_0246	embl-cds:CCB72984	2504911317
SCAT_0247	embl-cds:CCB72985	2504911316
SCAT_0248	embl-cds:CCB72986	2504911315
SCAT_0249	embl-cds:CCB72987	2504911314
SCAT_0250	embl-cds:CCB72988	2504911313
SCAT_0251	embl-cds:CCB72989	2504911312
SCAT_0252	embl-cds:CCB72990	2504911311
SCAT_0253	embl-cds:CCB72991	2504911310
SCAT_0254	embl-cds:CCB72992	2504911309
SCAT_0255	embl-cds:CCB72993	2504911308
SCAT_0256	embl-cds:CCB72994	2504911307
SCAT_0257	embl-cds:CCB72995	2504911306
SCAT_0258	embl-cds:CCB72996	2504911305
SCAT_0259	embl-cds:CCB72997	no IMG ID
SCAT_0260	embl-cds:CCB72998	2504911304
SCAT_0261	embl-cds:CCB72999	2504912211
SCAT_0262	embl-cds:CCB73000	2504910671
SCAT_0263	embl-cds:CCB73001	2504910672
SCAT_0264	embl-cds:CCB73002	2504910673
SCAT_0265	embl-cds:CCB73003	2504910674
SCAT_0266	embl-cds:CCB73004	2504910675
SCAT_0267	embl-cds:CCB73005	2504910676
SCAT_0268	embl-cds:CCB73006	no IMG ID
SCAT_0269	embl-cds:CCB73007	2504910677
SCAT_0270	embl-cds:CCB73008	2504910678
SCAT_0271	embl-cds:CCB73009	2504910679
SCAT_0272	embl-cds:CCB73010	2504910680
SCAT_0273	embl-cds:CCB73011	2504910681
SCAT_0274	embl-cds:CCB73012	2504910682
SCAT_0275	embl-cds:CCB73013	2504910683
SCAT_0276	embl-cds:CCB73014	2504910684
SCAT_0277	embl-cds:CCB73015	2504910685
SCAT_0278	embl-cds:CCB73016	2504910686
SCAT_0279	embl-cds:CCB73017	no IMG ID
SCAT_0280	embl-cds:CCB73018	2504910687
SCAT_0282	embl-cds:CCB73019	no IMG ID
SCAT_0281	embl-cds:CCB73020	2504910688
SCAT_0283	embl-cds:CCB73021	2504910689
SCAT_0284	embl-cds:CCB73022	no IMG ID
SCAT_0285	embl-cds:CCB73023	2504910690
SCAT_0286	embl-cds:CCB73024	2504910691
SCAT_0287	embl-cds:CCB73025	2504910692
SCAT_0288	embl-cds:CCB73026	2504910693
SCAT_0289	embl-cds:CCB73027	2504910694
SCAT_0290	embl-cds:CCB73028	2504910695
SCAT_0291	embl-cds:CCB73029	2504910697
SCAT_0292	embl-cds:CCB73030	2504910698
SCAT_0293	embl-cds:CCB73031	2504910699
SCAT_0294	embl-cds:CCB73032	2504910700
SCAT_0295	embl-cds:CCB73033	no IMG ID
SCAT_0296	embl-cds:CCB73034	2504910701
SCAT_0297	embl-cds:CCB73035	2504910702
SCAT_0298	embl-cds:CCB73036	2504910703
SCAT_0299	embl-cds:CCB73037	2504910704
SCAT_0300	embl-cds:CCB73038	2504910705
SCAT_0301	embl-cds:CCB73039	2504910707
SCAT_0302	embl-cds:CCB73040	2504910708
SCAT_0303	embl-cds:CCB73041	2504910709
SCAT_0304	embl-cds:CCB73042	2504910710
SCAT_0305	embl-cds:CCB73043	2504910711
SCAT_0306	embl-cds:CCB73044	2504910712
SCAT_0307	embl-cds:CCB73045	2504910713
SCAT_0308	embl-cds:CCB73046	2504910714
SCAT_0309	embl-cds:CCB73047	no IMG ID
SCAT_0310	embl-cds:CCB73048	2504910715
SCAT_0311	embl-cds:CCB73049	2504910716
SCAT_0312	embl-cds:CCB73050	2504910717
SCAT_0313	embl-cds:CCB73051	2504910718
SCAT_0314	embl-cds:CCB73052	2504910719
SCAT_0315	embl-cds:CCB73053	2504910720
SCAT_0316	embl-cds:CCB73054	2504910721
SCAT_0317	embl-cds:CCB73055	2504910722
SCAT_0318	embl-cds:CCB73056	2504910723
SCAT_0319	embl-cds:CCB73057	2504910724
SCAT_0320	embl-cds:CCB73058	2504910725
